0
Abyssinian Kale 
Acacia colei
Acacia dealbata
Acacia decurrens
Acacia holosericea
Acacia koa
Acacia longifolia
Acacia mearnsii
Adansonia digitata
African Spider Flower 
Alder 
Aleppo Oak 
Aletris farinosa
Alfalfa
Alhagi maurorum
Alkanna tinctoria
Allanblackia stuhlmannii
Alliaria petiolata
Allium acuminatum
Allium aflatunense
Allium altaicum
Allium atropurpureum
Allium cepa 
Allium douglasii
Allium platycaule
Allium porrum
Allium ramosum
Allium roseum
Allium wallichii
Allocasuarina littoralis
Almond
Amaranthus blitum 
Amaranthus hybridus
Amaranthus hybridus 
Amaranthus hypochondriacus
Amaranthus viridis 
American hornbeam 
American persimmon 
Amur Maackia 
Anacardium occidentale
Anethum graveolens 
Anise Hyssop 
Aniseed Tree 
Aniseroot 
Apple 
Apple Geranium 
Apple Rose 
Apple Serviceberry 
Apricot
Arracacha 
Arrowroot
Artemisia scoparia
Asian Poison Bulb
Asparagus 
Asparagus Fern 
Asthma Weed
Autumn olive
Avocado 
Azarole 
Bachelor's button 
Bamboo
Bamboo 
Barberry
Barley 
Barley Mitchell Grass 
Basil 
Bay tree 
Beech 
Beet 
Beet 
Bermuda Buttercup
Beta vulgaris cicla 
Bitter Milkwort
Bitter orange 
Bittersweet 
Black currant 
Black elderberry
Black Gram
Black hawthorn
Black locust 
Black mulberry 
Black raspberry 
Black Sapote 
Black walnut
Black-Eyed Pea
Blackberry 
Bleeding Heart
Blue elderberry
Blue false indigo 
Blueberry Ash 
Bonnet Pepper
Bonnet Pepper 
Borage 
Bottlebrush 
Brassica oleracea acephala
Brassica oleracea italica
Breadfruit
Broad Bean 
Broom honeymyrtle
Buffaloberry 
Bull Mallow
Butterfly bush 
Butternut - White Walnut 
Cabbage 
Cabbage palm 
Cancer Weed
Caraway Thyme
Cardoon
Carolina buckthorn
Carolina False Dandelion 
Carrot 
Caryocar brasiliense
Cascara
Cassava
Catalpa bungei
Celeriac 
Celery 
Chamomile 
Chayote 
Cheeseweed
Cherry Birch 
Cherry plum 
Chestnut Hybrids 
Chick Pea 
Chili
Chinese Angelica Tree 
Chinese Arrowroot 
Chinese Artichoke 
Chinese Boxthorn 
Chinese chestnut 
Chinese dogwood 
Chinese Fir
Chinese indigo
Chinese Peony
Chinese Water Chestnut 
Chives 
Chokeberry 
Cichorium intybus
Cinquefoil 
Citron daylily 
Citrullus lanatus 
Citrus reticulata 
Coconut Palm 
Colocasia esculenta
Comfrey 
Common bean 
Common Box 
Common Evening-Primrose
Common Hackberry 
Common Hazelnut 
Common Nardoo
Common Sunflower
Cone Flower
Coprosma robusta 
Coriandrum sativum 
Cornelian cherry 
Cosmos 
Cotton Grass 
Cow Parsnip 
Coyote brush 
Cranberry
Crataegus pontica
Crataegus punctata
Creeping Dogwood
Cress 
Crocus serotinus
Cruciata laevipes
Cucumis anguria
Cucumis melo cantalupensis
Cucumis melo cantalupensis 
Cucumis metuliferus
Cucumis sativus 
Cucurbita argyrosperma
Cucurbita digitata
Cucurbita ficifolia
Cucurbita foetidissima
Currant-Gooseberry 
Curry plant 
Dalea gattingeri
Dalea purpurea
Damasonium alisma
Damson 
Daphne bholua
Daphne gnidium
Daphne laureola
Dasylirion texanum
Dasylirion wheeleri
Date Palm 
Date plum 
Datura stramonium
Daucus carota
Devil's club 
Durian
Dwarf Catnip 
Dwarf Cornel
Dwarf hawthorn
Dwarf Mallow
Dwarf Mallow
Dwarf Red Blackberry
Dysoxylum fraserianum
Echinacea 
Egyptian Leek 
Elaeagnus
Elaeis oleifera
Endive 
English laurel
English walnut 
Escallonia
Eulalia
European plum 
Fagopyrum esculentum 
Falcataria moluccana
False Jasmine 
Fennel 
Fenugreek
Fiddleleaf hawksbeard
Fig 
Flax
Flax-Leaved Paper-Bark
Fleshy hawthorn
Formosan Gum
Foxtail Barley 
French tamarisk 
Frosted Hawthorn
Fuchsia 
Fuji cherry 
Garlic
Geranium 
Giant red mustard 
Giant reed 
Ginger Mint 
Ginkgo 
Glossy Privet 
Golden currant 
Golden Samphire 
Golden-chain tree 
Gooseberry 
Gotu Kola
Goumi 
Grass Of Parnassus 
Grass-leaved Sweet Rush 
Grassnut 
Guar 
Guava 
Hardy kiwi 
Hardy swamplily
Hawthorn-leaf crab apple
Hemp
Hemp 
Hercules Club Prickly Ash
Himalayan Giant Blackberry
Honewort
Honey locust 
Hooker's willow 
Horseradish 
Hottentot Fig
Hyssop 
Iigeri tree 
India Rubber Vine
Indian Bean Tree
Indian Laurel Brown bollygum
Indian Persimmon
Indian Woodoats
Jackfruit
Japanese Apricot 
Japanese Pepper Tree 
Japanese quince 
Japanese raisin tree 
Japanese Wineberry
Jerusalem artichoke 
Jerusalem Pea 
Jujube 
Juneberry
Kenaf 
Kentucky Coffee Tree
Kiwi 
Koai'a
Kudzu Vine 
Lactuca sativa 
Laurel cherry 
Lavender 
Lebanese wild apple
Lemon balm 
Lemonade berry 
Lentil 
Licorice Fern 
Lilac 
Lilyturf
Limber pine 
Lime Berry
Limnocharis flava
Locoto
Loquat 
Lovage 
Lupinus albus
Macadamia
Madrone 
Mallow 
Mango 
Manzanita 
Marjoram
Marking Nut Tree Oriental Cashew 
Matara Tea Tanner's cassia
Mauritius Raspberry
Maximilian Sunflower 
Medlar 
Mexican orange 
Mitsuba
Mizuna 
Mock orange 
Monkey puzzle 
Moringa
Mountain Lettuce 
Mountain pepper 
Mouse-Ear Hawkweed
Murray Lily
Mushroom Plant
Musk Mallow
Musk Mallow 
Mustard 
Myrtle 
Nandina 
Nanking cherry 
Narrow-Leaved Hawksbeard
Nasturtium 
Native Millet 
Nectarine 
New Zealand flax
Nine Star Perennial Broccoli
Nordic Currant 
Northern Highbush Blueberry 
Oca
Oceanspray 
Olancho walnut
Oleander Podocarp
Olive 
Orange Ball Tree 
Oriental Sweet Gum
Osage orange 
Oso berry
Oxalis
Oxalis tetraphylla
Paeonia obovata
Papaver nudicaule
Papaver orientale
Papaver rhoeas
Papaver somniferum
Papaya 
Parsley 
Passion Flower 
Pastinaca sativa 
Pawpaw 
Pea 
Peach 
Pear 
Pear x mountain ash 
Pecan 
Peony
Pepper Saxifrage 
Perennial Buckwheat 
Perennial Ryegrass
Persian Silk Tree
Persimmon 
Photinia bodinieri
Photinia serratifolia
Photinia villosa
Photinia x fraseri
Phragmites australis
Physic Nut 
Phyteuma spicatum
Phytolacca americana
Phytolacca dioica
Phytolacca dodecandra
Picea abies
Picea asperata
Picea breweriana
Picea engelmannii
Picea glauca
Picea glehnii
Picea jezoensis
Picea mariana
Picea omorika
Picea orientalis
Picea pungens
Picea purpurea
Picea rubens
Picea sitchensis
Picea smithiana
Picrasma excelsa
Picrasma quassioides
Picris hieracioides
Pieris japonica
Pignut hickory 
Pineapple 
Pineapple guava 
Pineapple Weed
Pinyon pine
Pistachio 
Plantain
Plum-Fruited Yew 
Plymouth Pear 
Polemonium reptans
Polynesian Arrowroot
Pomegranate 
Poppy Mallow 
Portugese laurel 
Pot marigold 
Potato 
Prickly Poppy
Prosopis juliflora
Pumpkin / Zucchini 
Purple osier 
Quebec Hawthorn
Quince 
Quinoa 
Radish 
Ramie 
Rape 
Red currant 
Red mulberry 
Red raspberry 
Redbud 
Redwood Sorrel
Rhubarb 
River teatree
Rock Samphire 
Rose Geranium 
Rosemary 
Round-Leaved Mint 
Roundleaf ragwort
Rowan
Runner Bean 
Russian olive
Russian Tarragon 
Ruta graveolens 
Rye
Safflower | Koosumbha | Hoang-tchi 
Saffron
Saffron 
Sage 
Salix fragilis
Salix gooddingii
Salix lucida lasiandra
Salix matsudana
Salix piperi
Salmonberry
Salt bush 
Salvia hispanica
Salvia microphylla
Sand Sedge
Sand Sedge
Sangre De Grado
Saskatoon berry 
Sassafras
Scotch heather 
Sea Daffodil
Sea Purslane 
Sea-buckthorn 
Sedge
Sesame 
Shellbark hickory 
Shepherd's Purse
Shining Willow
Shiso 
Siamese Senna
Siberian Apricot 
Siberian miner's lettuce 
Silverberry
Skimmia japonica
Sloe
Solanum aethiopicum 
Solanum melongena 
Solanum vescum
Soldanella alpina
Solidago canadensis scabra
Solidago fistulosa
Solidago gigantea
Sorghum bicolor 
Sorrel 
Sour cherry
Soya Bean
Spanish broom 
Spanish Salsify 
Spinach 
Spotted laurel 
Squash 
Squaw Potato
Staghorn sumac 
Star Anise 
Star Apple 
Stone Mint
Stone pine 
Strawberry 
Strawberry Guava 
Strawberry tree 
Sugar maple
Sugarcane 
Summersweet 
Sun Hemp
Sweet Broom
Sweet cherry 
Sweet chestnut 
Sweet Gum
Sweetcorn Root 
Tabasco Pepper
Tansy 
Tansy-Leaved Thorn
Tarweed
Tea Plant 
Tea Tree
Tea Tree
Teak
Tephrosia virginiana
Terminalia kaernbachii
Texas Walnut
Theobroma cacao 
Thyme 
Thymeleaf melaleuca
Tiarella cordifolia
Tiger nut 
Tigridia pavonia
Tobacco 
Tomatillo 
Tomato 
Tragopogon porrifolius
Tragopogon pratensis
Tree of heaven 
Tribulus terrestris
Trichilia dregeana
Trifolium pratense 
Triticum aestivum
Tufted Sedge
Tulip Tree
Tupelo 
Turnip
"Turnip ""Bok choy"""
"Turnip ""Tatsoi"""
Valerian 
Vanilla
Vernicia fordii 
Vervain mallow
Walnut 
Water Clover
Wax currant
White mulberry 
White Prairie Clover
White Sapote 
White-Flowered Currant 
Wild Cabbage 
Wild Ginger 
Wild Senna 
Willow Herb
Winged Bean
Winter Squash
Winter's bark 
Witch hazel
Withania somnifera
Withania somnifera 
Wood sedge
Wormwood
Wyethia mollis
Yam 
Yampa
Yarrow
Yellow buckeye 
Yellow Salsify 
Yellow Strawberry Guava 
Yellow Wood Sorrel
Yellow Wort 
Yucca angustissima
Yucca constricta
Zantedeschia aethiopica
Zanthoxylum ailanthoides
Zea mays 
