Common name,Scientific name,Family,Tag,Width,Soil pH,Height,USDA Hardiness zone,Water requirement,Life cycle,Soil type,Light requirement,Utility,Alternate name,Task Recommendations.,vec_0,vec_1,vec_2,vec_3,vec_4,vec_5,vec_6,vec_7,vec_8,vec_9,vec_10,vec_11
Abyssinian Kale ,Crambe abyssinica,Brassicaceae or cruciferae,Culinary vegetable,1.0,6.2 - 6.8,2.0,10-12,Moist,"Annual, Perennial","Light (sandy), Medium, Heavy (clay)",Full sun,"Culinary vegetable, medicinal","Garden tomato, Dumádu, Garden tomato, Love apple, Lycopersicum esculentum, Tomate, Tomato, Tomato extract containing lycopene, Tomato|thakkali, Tumatis, Lycopersicon esculentum","Prepare seedbed with fine tilth using machinery similar to that for small grains, Grow crambe in isolation from canola to avoid cross-contamination, Treat seeds with fungicide or hot water to reduce Alternaria brassicicola and mosaic virus infection risk, Apply phosphorus and potassium based on soil tests, matching small grain recommendations, Apply 80–100 lb/acre nitrogen, considering credits for legumes or manure, Monitor young plants for aphids and slugs, applying targeted controls as needed, Maintain moist, well-drained soils throughout growth, Harvest promptly to prevent seed shattering and disease spread",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6363636363636364
Acacia colei,Acacia colei,Fabaceae,Nitrogen fixer,5.0,5.5 - 7.0,4.0,10-12,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Fire starter, Dye, Pioneer, Wind breaker, Lumber, Coppice, Nitrogen fixer","Candelabra wattle, soap wattle, cole’s wattle, gurganyan and gargardu (yindjibarndi), gurlganyan (ngarluma) and karranyongu (kurrama)","Sow seeds in spring, scarifying or treating with boiling water to enhance germination, Plant in fertile, well-drained soil enriched with organic matter and maintain a slightly acidic to neutral pH, Provide full sun exposure (minimum 6 hours daily) for optimal growth, Keep soil consistently moist but not waterlogged, especially during dry spells, Thin seedlings to prevent overcrowding and encourage robust root systems, Apply balanced organic fertilizer during active growth, avoiding over-fertilization, Protect young plants from frost or cold snaps, Prune lightly to maintain shape and vigor",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5454545454545454
Acacia dealbata,Acacia dealbata,Fabaceae or leguminosae,Nitrogen fixer,10.0,5.5 - 7.5,25.0,7-10,"Dry, Moist",Perennial,"Light (sandy), Medium",Full sun,"Dye, Gum, Erosion control, Tannin, Nitrogen fixer, Fragrance",Silver wattle,"Plant in well-drained, loamy soil with a slightly acidic to neutral pH, Ensure location receives at least 6 hours of direct sunlight daily, Water regularly during dry periods, but allow soil to dry between waterings once established, Fertilize monthly during the growing season with a 5-10-10 balanced fertilizer, Repot young plants every 1–2 years to accommodate rapid growth, Propagate via seeds (soak in hot water before sowing) or cuttings taken in late spring, Prune after flowering to maintain shape and remove damaged branches, Protect from frost in cooler climates",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6363636363636364
Acacia decurrens,Acacia decurrens,Fabaceae or leguminosae,Nitrogen fixer,8.0,5.5 - 7.5,12.0,6-9,"Dry, Moist",Perennial,"Light (sandy), Medium",Full sun,"Dye, Gum, Hedgerow, Erosion control, Tannin, Nitrogen fixer",Black wattle,"Select a sunny, well-drained site for planting; dig a hole twice the width of the root ball, Water deeply once a week during the first growing season to establish roots, Apply organic mulch around the base to conserve moisture and suppress weeds, keeping mulch away from the trunk, Apply a light, slow-release fertilizer in spring if growth is poor, Prune in late winter or early spring to remove dead or diseased branches and encourage strong structure, Reduce irrigation frequency as tree matures for drought resilience, Monitor for sap-sucking insects and treat promptly if needed, Avoid waterlogged soils to prevent root rot",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6363636363636364
Acacia holosericea,Acacia holosericea,Fabaceae,Nitrogen fixer,6.0,5.5 - 7.0,3.0,10-12,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,Nitrogen fixer,"Candelabra wattle, cole's wattle, candelabra wattle, soap wattle, cole’s wattle, gurganyan and gargardu (yindjibarndi), gurlganyan (ngarluma) and karranyongu (kurrama)","Scarify seeds or immerse in boiling water for one minute before sowing to enhance germination, Sow in well-drained soil at the onset of the wet season for rapid establishment, Space seedlings adequately to accommodate rapid early growth (up to 4 m in 18 months), Provide supplemental water during prolonged dry periods, especially in the first three years, Monitor for poor coppicing response; avoid heavy cutting unless necessary, Harvest mature seeds within two years for propagation or use, Apply mulch to retain soil moisture and suppress weeds, Use as a windbreak or for green manure on degraded sites",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5454545454545454
Acacia koa,Acacia koa,Fabaceae,Nitrogen fixer,10.0,5.5 - 7.0,20.0,10-12,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,Nitrogen fixer,Koa,"Sow seeds in well-drained, slightly acidic to neutral soils; scarify seeds to improve germination, Plant at elevations and seasons appropriate for local climate—flowering peaks December–March depending on altitude, Protect seed pods from insect predation to maximize viable seed yield, Allow for natural regeneration via root and stump sprouts, especially after grazing is suspended, Monitor for insect pollinators to ensure successful seed set, Harvest seeds after 7 months of maturation post-pollination, Thin seedlings to prevent overcrowding and promote healthy growth, Use for reforestation or agroforestry in suitable zones",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5454545454545454
Acacia longifolia,Acacia longifolia,Fabaceae or leguminosae,Nitrogen fixer,8.0,5.5 - 7.0,9.0,10-11,"Dry, Moist",Perennial,Light (sandy),Full sun,"Dye, Hedgerow, Rootstock, Erosion control, Lumber, Nitrogen fixer, Fragrance",Acacia,"Plant in fertile, sandy or loamy soil with good moisture retention and organic matter, Ensure slightly acidic to neutral pH (5.5–7.0) for optimal growth, Provide full sun exposure for dense foliage and flowering, Water regularly during establishment, then reduce frequency for drought tolerance, Mulch around the base to conserve moisture and suppress weeds, Prune lightly after flowering to maintain shape and promote bushiness, Monitor for invasive tendencies in non-native regions and manage spread, Use as a windbreak or for erosion control in coastal or sandy areas",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5454545454545454
Acacia mearnsii,Acacia mearnsii,Fabaceae,Nitrogen fixer,8.0,5.5 - 7.5,10.0,8-11,Moist,Perennial,"Light (sandy), Medium",Full sun,"Fire starter, Cover crop, Wind breaker, Soil reclamation, Erosion control, Tannin, Lumber, Nitrogen fixer","Late black wattle, acácia-negra (portuguese), australian acacia, australische akazie (german), swartwattel (afrikaans), uwatela (zulu)","Sow scarified seeds at the start of the wet season to enhance germination, Plant in well-drained acidic to neutral soils with full sun exposure, Apply organic mulch to retain moisture and suppress weeds, Irrigate moderately during establishment but reduce watering once established for drought tolerance, Prune dead or diseased branches in late winter to early spring to maintain tree health, Monitor for gall rust and treat early with fungicides if detected, Utilize nitrogen-fixing properties to improve soil fertility in agroforestry systems, Harvest seed pods when mature for propagation, Avoid waterlogged soils to prevent root rot",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6363636363636364
Adansonia digitata,Adansonia digitata,Malvaceae,Fruit/seed producer,15.0,6.0 - 7.5,20.0,10-12,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Adhesive, Dye, Fertilizer, Fiber, Animal feed, Fire starter, Hair, Pest control, oil, Soap, Soil conditioner, Tannin, Lumber, Coppice","Judas fruit, monkey bread tree, anaipuli, bebaque, bedom-hal, beke, bocko, boe, bokki, bokchi, boko, bozo, brungal, bubak, bu hibab, bui, burungule-burunque, burungule, cabaceira, calabacera, cito, cork tree, dungwol, ethiopian sour gourd, gorahk amli, gorak amli, gorakg imli, gorakh chinch, hahar, hou mian bao shu, howeira, humar, humeira, isimuhu, kiri, koo nya, kremertartboom, kuka, late, luru, magimavu, majanu ya nbuyu, masera, mayuy, mbuye, mbuyu, mlambe, mlonje, mmowana, mnamba, mnambe, momret, mowana, mramba, mubuyu, mu-ramba, muru, muuyu, muvuhuya, mvamba, ng'wandu, odadie, olmisera, ose, pain de singe, shimuwu, sira, sito","Plant in deep, well-drained sandy or loamy soils with neutral to slightly acidic pH, Sow seeds after scarification or soak in warm water for 24 hours to improve germination, Provide full sun exposure and protect young plants from frost, Irrigate moderately during dry seasons but avoid overwatering, Apply organic compost annually to support nutrient needs, Prune selectively to maintain structural integrity and remove dead branches, Use thick mulch to conserve moisture and reduce soil temperature, Monitor for fungal infections especially in humid conditions and apply fungicides as needed, Harvest fruit when mature, typically after 6-8 years, for nutritional and medicinal uses",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
African Spider Flower ,Cleome gynandra,Capparidaceae,Pollinator attractor,1.0,6.0 - 7.5,1.3,8-12,"Dry, Moist",Annual,"Light (sandy), Medium",Full sun,"Leafy vegetable, medicinal","Spiderwisp, shona cabbage, african cabbage, spiderwisp, cat's whiskers, chinsaga, stinkweed adikyakharan, african spider-flower, akeyo, akiya, alot dek, amazonde, ansarisha, apoy-apoyan, arkapushpika, bagra, balaya, bangara, bastard-mustard, bhubhuwan, chamani, churota, ejjobyo, ekaboi, ekeyo, ekiau, enceng-enceng, eshoje, eyobyo, gandhuli, gasaya, ghandhatu, hulul, isaga, jirri, kadughoo, kanphodi, karavela, kathal, kattkadugu, ketota, knasi, kornia, langsana, lerotho, lubanga, lude, luni, mamang, manabo, mangmang trang, marang charmani, mgagani, mgange, momienh, motitlavan, mutaka, narum byale soppu, neivaylla, nsila, nyevhe, nyovhi, pak-sian, paksienedit, pandharitilavan, parhar, phak sian, rothwe, rudhe, runi, sada hurhuria, satitalvani, seta kata arak, sienz, sishungwa, shungwa, suntha, surjavarta, taivela, taiwela, tegeri, thaivalaikeerai, tim-légué, tsuna, ulube, ulude, umzonde, vainta, valay keeray, vaminta, velai, velakura","Sow seeds directly in warm soil after last frost with spacing of 30 cm, Thin seedlings to prevent overcrowding and improve air circulation, Apply balanced fertilizer high in nitrogen to promote leafy growth, Maintain moist but well-drained soil conditions, Control aphids and flea beetles using neem oil or insecticidal soap, Harvest leaves regularly to encourage continuous production, Mulch to conserve soil moisture and suppress weeds, Rotate crops annually to reduce disease buildup, Sow in dry or moist soil conditions but avoid waterlogging, Use as a short-cycle leafy vegetable in intercropping systems",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7272727272727273
